order_no,order_type,order_state,pos_no,detail_state,date_issued,suplier_id,supplier_name,part_no,serial_no,description,qty,uom,backorder,priority,order_currency,local_price,local_amnt,foreign_price,foreign_amt,cost_center,receiving_date,author,material_type,ship_to
P0300024,P,OPEN,1,OPEN,10/4/2024,REDACTED,REDACTED,13083-5, ,FIRE CARTRIDGE,2,EA,2,NORMAL,USD,28245000,56490000,1883,3766,25VBL4AL,,REDACTED,P,REDACTED
P0300124,P,OPEN,1,OPEN,10/4/2024,REDACTED,REDACTED,30900400, ,FIRE EXTINGUISHER CARTRIDGE,2,EA,2,NORMAL,USD,14343900,28687800,956.26,1912.52,25VBL4AL,,REDACTED,P,REDACTED
P0300224,P,RECEIVED,1,RECEIVED,10/4/2024,REDACTED,REDACTED,AA-3733, ,TEFLON WIRE,4.17,ROLL,0,NORMAL,USD,5832000,24300000,388.8,1620,25VBL4AL,11/13/2024,REDACTED,P,REDACTED
P0300324,P,RECEIVED,1,RECEIVED,10/4/2024,REDACTED,REDACTED,071-01438-0702, ,CP-466A,1,EA,0,URGENT,USD,56299950,56299950,3753.33,3753.33,24CAS212,10/28/2024,REDACTED,P,REDACTED
P0300424,P,RECEIVED,1,RECEIVED,10/4/2024,REDACTED,REDACTED,25218-FAST-ORANGE, ,PERMATEX FAST ORANGE HAND CLEANER GL,6,EA,0,NORMAL,IDR,375000,2250000,375000,2250000,CSMBGEN,10/29/2024,REDACTED,N,REDACTED
P0300424,P,RECEIVED,2,RECEIVED,10/4/2024,REDACTED,REDACTED,TACTIX TOOL BOX 43.5CM, ,TACTIX TOOL BOX 43.5CM,1,EA,0,NORMAL,IDR,189900,189900,189900,189900,TOOLEQPT,10/30/2024,REDACTED,N,REDACTED
P0300424,P,RECEIVED,3,RECEIVED,10/4/2024,REDACTED,REDACTED,"AMPLAS RING 3/4"" GRIT 80", ,"AMPLAS RING 3/4"" GRIT 80",100,EA,0,NORMAL,IDR,10000,1000000,10000,1000000,COMPOS00,10/29/2024,REDACTED,N,REDACTED
P0300424,P,RECEIVED,4,RECEIVED,10/4/2024,REDACTED,REDACTED,"AMPLAS RING 3/4"" GRIT 36", ,"AMPLAS RING 3/4"" GRIT 36",100,EA,0,NORMAL,IDR,10000,1000000,10000,1000000,COMPOS00,10/29/2024,REDACTED,N,REDACTED
P0300424,P,RECEIVED,5,RECEIVED,10/4/2024,REDACTED,REDACTED,"AMPLAS RING 1 1/2"" GRIT 36", ,"AMPLAS RING 1 1/2"" GRIT 36",100,EA,0,NORMAL,IDR,13500,1350000,13500,1350000,COMPOS00,10/29/2024,REDACTED,N,REDACTED
P0300524,P,RECEIVED,1,RECEIVED,10/7/2024,REDACTED,REDACTED,HEADREST, ,HEADREST COVER,18,EA,0,AOG,IDR,195000,3510000,195000,3510000,24CAS212,10/17/2024,REDACTED,C,REDACTED
